Index,Topic,Source,Bias,Headline,Byline,Date,URL,Left Bias,Left Headline,Left Source,Left URL,Right Bias,Right Headline,Right Source,Right URL,Center Bias,Center Headline,Center Source,Center URL
122,blm,Time Magazine,Lean Left,How Black Lives Matter Is Changing What Students Learn During Black History Month,"Freshman year can make anyone feel lost, but Seattle teen Janelle Gary felt especially lost when she entered high school in 2015. At home, she watched a wave of gentrification drive change in the historically black Central District neighborhood, and at school, where she was one of the few students of color in an honors history class, she felt as if black perspectives were also in the minority",Jan 31 2020,https://time.com/5771045/black-history-month-evolution/,Lean Left,SpaceX launches 4 astronauts to ISS on recycled rocket and capsule,ABC News (Online),https://abcnews.go.com/Technology/spacex-launch-astronauts-iss-recycled-rocket-capsule/story?id=77192131,Right,#IStandWithTuckerCarlson Trends On Twitter After Fox News Host Faces Backlash Over 'Black Lives Matter' Comments,The Daily Caller,https://dailycaller.com/2020/06/12/tucker-carlson-trends-twitter-fox-news-backlash-black-lives-matter-comments-i-stand-with-tucker-carlson/,Center,What's behind the historic spike in drug overdose deaths under COVID-19,PBS NewsHour,https://www.pbs.org/newshour/health/whats-behind-the-historic-spike-in-drug-overdose-deaths-under-covid-19
123,blm,USA TODAY,Center,"Erica Garner, outspoken activist after her dad was police chokehold victim, dies","Erica Garner, who became an outspoken critic of police brutality following the death of her father during a police chokehold, died Saturday while in a coma following a massive heart attack.",Dec 30 2017,https://www.usatoday.com/story/news/2017/12/30/reports-erica-garner-outspoken-activist-after-her-dad-police-chokehold-victim-dies/992164001/,Left,Rudy Giuliani: Black Lives Matter 'inherently racist',CNN (Online News),http://www.cnn.com/2016/07/11/politics/rudy-giuliani-black-lives-matter-inherently-racist/index.html,Right,FDA Clears Pfizer Coronavirus Vaccine For Children As Young As 12,The Daily Caller,https://dailycaller.com/2021/05/10/fda-pfizer-vaccine-coronavirus-children-moderna/,Center,Covid-19: US to advise against travel to 80% of countries,BBC News,https://www.bbc.com/news/world-us-canada-56813852
124,blm,Univision,Right,"“Es un momento para guardarle luto a la memoria de George Floyd”, una representante de Black Lives Matter de Arizona habla sobre el veredicto del juicio contra Derek Chauvin","Una representante de Black Lives Matter de Arizona habló con Univision sobre la importancia de las redes sociales, especialmente sobre el video viral que mostró lo que le había ocurrido a George Floyd.",April 21 2021,https://www.univision.com/local/arizona-ktvw/una-representante-de-black-lives-matter-de-arizona-habla-sobre-el-veredicto-del-juicio-contra-derek-chauvin-video,Left,"Judge Lets Derek Chauvin, Ex-Cop Charged In George Floyd's Death, To Live Out Of State",HuffPost,https://www.huffpost.com/entry/derek-chauvin-george-floyd-judge_n_5f80a4cac5b6e5c31ffdfc3f?ncid=tweetlnkushpmg00000067,Right,FDA Clears Pfizer Coronavirus Vaccine For Children As Young As 12,The Daily Caller,https://dailycaller.com/2021/05/10/fda-pfizer-vaccine-coronavirus-children-moderna/,Center,Israel intensifies attacks in Gaza as conflict enters fifth day,BBC News,https://www.bbc.com/news/world-middle-east-57110368
125,blm,Insider,Center,"DOJ planned to arrest Derek Chauvin in court and charge him with civil-rights violations if he was acquitted of murder, report says","Justice Department officials planned to arrest Derek Chauvin at the courthouse and charge him with civil-rights violations if he was found not guilty of murder in George Floyd's killing or if there was a mistrial, the Star Tribune's Andy Mannix reported Wednesday.",Apr 29 2021,https://www.businessinsider.com/doj-planned-derek-chauvin-arrest-charge-if-acquitted-murder-report-2021-4,Lean Left,"COVID is killing 120 people an hour in India, and it could stay ""really grim"" for months",CBS News (Online),https://www.cbsnews.com/news/india-covid-crisis-deaths-vaccine-oxygen/,Right,#IStandWithTuckerCarlson Trends On Twitter After Fox News Host Faces Backlash Over 'Black Lives Matter' Comments,The Daily Caller,https://dailycaller.com/2020/06/12/tucker-carlson-trends-twitter-fox-news-backlash-black-lives-matter-comments-i-stand-with-tucker-carlson/,Center,"Support for Medicaid expansion grows in South Dakota, one of the last red state holdouts",PBS NewsHour,https://www.pbs.org/newshour/health/support-for-medicaid-expansion-grows-in-south-dakota-one-of-the-last-red-state-holdouts
126,blm,Rush Limbaugh,Right,ESPY Awards Ratings Bomb with Black Lives Matter,"… before are the magic elixir, the magic fix, sports fans are gonna watch sports no matter what, if it's brand-new, if it hasn't happened before, whether it …",Jun 24 2021,https://www.rushlimbaugh.com/daily/2020/06/24/espy-award-ratings-bomb-with-black-lives-matter/,Left,Instagram used to be where people escaped the news. The Black Lives Matter protests changed that.,Vox,https://www.vox.com/recode/2020/6/24/21300631/instagram-black-lives-matter-politics-blackout-tuesday,Right,Social media again silences The Post for reporting the news,New York Post (Opinion),https://nypost.com/2021/04/16/social-media-again-silences-the-post-for-reporting-the-news/,Center,"DOJ planned to arrest Derek Chauvin in court and charge him with civil-rights violations if he was acquitted of murder, report says",Insider,https://www.businessinsider.com/doj-planned-derek-chauvin-arrest-charge-if-acquitted-murder-report-2021-4
127,blm,NPR (Online News),Center,Bill Clinton Gets Into Heated Exchange With Black Lives Matter Protester,"In a prolonged exchange Thursday afternoon, former President Bill Clinton forcefully defended his 1994 crime bill to Black Lives Matter protesters in the crowd at a Hillary Clinton campaign event.",Apr 08 2016,http://www.npr.org/2016/04/07/473428472/bill-clinton-gets-into-heated-exchange-with-black-lives-matter-protester,Lean Left,SpaceX launches 4 astronauts to ISS on recycled rocket and capsule,ABC News (Online),https://abcnews.go.com/Technology/spacex-launch-astronauts-iss-recycled-rocket-capsule/story?id=77192131,Lean Right,Black Lives Matter pressured to hand over millions of dollars,Washington Examiner,https://www.washingtonexaminer.com/news/black-lives-matter-pressure-share-wealth,Center,"Rural schools have a teacher shortage. Why don't people who live there, teach there?",USA TODAY,https://www.usatoday.com/story/news/education/2021/04/13/covid-could-make-teacher-shortage-even-worse-hard-hit-rural-schools/7189706002/
128,blm,Vox,Left,The effects of Black Lives Matter protests,"There's long been a fierce debate about the effect of Black Lives Matter protests on the lethal use of force by police. A new study, one of the first to make a rigorous academic attempt to answer that question, found that the protests have had a notable impact on police killings. For every 4,000 people who participated in a Black Lives Matter protest between 2014 and 2019, police killed one",Apr 10 2021,https://www.vox.com/22360290/black-lives-matter-protest-crime-ferguson-effects-murder,Left,"""I Got Little Left In The Tank"": Minneapolis Residents Are Exhausted After The Killings Of George Floyd And Daunte Wright",BuzzFeed News,https://www.buzzfeednews.com/article/carolinehaskins1/minneapolis-community-response-police-killings,Right,REPORT: FBI Says Atlanta ‘Activist’ Spent $200K in ‘Black Lives Matter’ Donations on ‘Personal Expenses’,Sean Hannity,https://hannity.com/media-room/report-fbi-says-atlanta-activist-spent-200k-in-black-lives-matter-donations-on-personal-expenses/,Center,White Supremacists Hold White Lives Matter Rally,The Hill,http://thehill.com/blogs/blog-briefing-room/news/357643-white-nationalists-march-through-tennessee-town
129,blm,CNN (Opinion),Left,Why should a cop's blue fear matter more than my Black life?,"I'm a Black man who has never personally had a nasty run-in with the police. I should have no trouble with them. But I fear them, and I know they fear me.
Caron Nazario, an Army officer, was pepper-sprayed in the face during a traffic stop in Virginia; Daunte Wright was shot by a cop in Minnesota who allegedly mistakenly reached for the wrong weapon; George Floyd died in handcuffs while a",Apr 14 2021,https://www.cnn.com/2021/04/14/opinions/daunte-wright-caron-nazario-police-and-black-lives-bailey/index.html,Lean Left,Black Lives Matter power grab sets off internal revolt,Politico,https://www.politico.com/news/2020/12/10/black-lives-matter-organization-biden-444097,Right,'Black Guns Matter' Founder: Gun Control Keeps Urban Residents Dependent on Government,Breitbart News,http://www.breitbart.com/big-government/2016/09/25/exclusive-black-guns-matter-founder-gun-control-keep-urban-residents-dependent-gov/,Center,White Supremacists Hold White Lives Matter Rally,The Hill,http://thehill.com/blogs/blog-briefing-room/news/357643-white-nationalists-march-through-tennessee-town
130,blm,Fox News (Online News),Lean Right,Celebrating Black History Month,"February is Black History Month, dedicated to celebrating African Americans' cultural heritage and achievements throughout history, while recognizing the ongoing struggle for racial justice. The Association for the Study of African American Life and History (ASALH) said this year the theme for Black History Month is ""The Black Family: Representation, Identity and Diversity."" Historian Carter G",Feb 01 2021,https://www.foxnews.com/us/black-history-month-starts-focuses-on-the-black-family,Lean Left,Ahmaud Arbery: anger mounts over killing of black jogger caught on video,The Guardian,https://www.theguardian.com/us-news/2020/may/06/ahmaud-arbery-shooting-georgia,Right,'Black Guns Matter' Founder: Gun Control Keeps Urban Residents Dependent on Government,Breitbart News,http://www.breitbart.com/big-government/2016/09/25/exclusive-black-guns-matter-founder-gun-control-keep-urban-residents-dependent-gov/,Center,Why Supreme Court case about cheerleader's Snapchat rant matters to students everywhere,USA TODAY,https://www.usatoday.com/story/opinion/2021/04/28/why-supreme-court-case-about-cheerleaders-angry-snapchat-post-matters-column/7396284002/
131,blm,Politico,Lean Left,Black Lives Matter power grab sets off internal revolt,"The Black Lives Matter movement is buckling under the strain of its own success, with tensions rising between local chapters and national leaders over the group's goals, direction -- and money.",Dec 10 2020,https://www.politico.com/news/2020/12/10/black-lives-matter-organization-biden-444097,Lean Left,'White Lives Matter' organizers cancel second rally after taunts from counterprotesters,Washington Post,https://www.washingtonpost.com/national/white-lives-matter-organizers-cancel-second-rally-after-being-taunted-by-counterprotesters/2017/10/28/a6fee0d2-bc1f-11e7-be94-fabb0f1e9ffb_story.html?utm_term=.5db14a7db004,Right,BUSTED! Biden Falsely Claims Trump Refuses to Say ‘Black Lives Matter’… ROLL THE TAPE.,Sean Hannity,https://hannity.com/media-room/busted-biden-falsely-claims-trump-refuses-to-say-black-lives-matter-roll-the-tape/,Center,'We're Creating a City in Georgia for Black People to Live Without Racism',Newsweek,https://www.newsweek.com/were-creating-city-georgia-black-people-live-without-racism-1543205
132,blm,The Hill,Center,"White supremacists chant 'closed borders, white nation' in 'White Lives Matter' march",White nationalist and neo-Nazi groups took to the streets in two Tennessee towns on Saturday for so-called White Lives Matter rallies.,Oct 29 2017,http://thehill.com/blogs/blog-briefing-room/news/357643-white-nationalists-march-through-tennessee-town,Lean Left,"Hiring Jumped in March, Fueled by Vaccines and Federal Aid: Live Updates",New York Times (News),https://www.nytimes.com/live/2021/04/02/business/stock-market-today,Lean Right,Atlanta cop who shot and killed Rayshard Brooks reinstated,New York Post (News),https://nypost.com/2021/05/05/atlanta-cop-charged-in-rayshard-brooks-murder-reinstated/,Center,"Nigeria, Africa's Largest Nation, Backs Trump Despite Black Lives Matter Hostility",Newsweek,https://www.newsweek.com/nigeria-backs-trump-black-lives-matter-hostility-1542271
133,blm,Newsweek,Center,"Labor Rights Activists Say Minimum Wage Proposals From Manchin, Romney Aren't Living Wages","The battle to increase the minimum wage for American workers continues in Congress, but labor rights activists say counteroffers from senators like Joe Manchin of West Virginia and Mitt Romney of Utah are too low to provide a decent living wage.",Feb 23 2021,https://www.newsweek.com/labor-rights-activists-say-minimum-wage-proposals-manchin-romney-arent-living-wages-1571423,Left,Why should a cop's blue fear matter more than my Black life?,CNN (Opinion),https://www.cnn.com/2021/04/14/opinions/daunte-wright-caron-nazario-police-and-black-lives-bailey/index.html,Lean Right,"Black Lives Matter has terrorist and communist inspirations, but liberal media doesn't care",Washington Examiner,https://www.washingtonexaminer.com/opinion/black-lives-matter-has-terrorist-and-communist-inspirations-but-liberal-media-doesnt-care,Center,"Rural schools have a teacher shortage. Why don't people who live there, teach there?",USA TODAY,https://www.usatoday.com/story/news/education/2021/04/13/covid-could-make-teacher-shortage-even-worse-hard-hit-rural-schools/7189706002/
134,blm,New York Post (News),Lean Right,Jury selection delayed in Derek Chauvin trial in death of George Floyd,"A Minnesota judge has delayed jury selection in the murder trial of ex-cop Derek Chauvin in the death of George Floyd, according to reports.",Mar 08 2021,https://nypost.com/2021/03/08/jury-selection-delayed-in-chauvin-george-floyd-trial/,Lean Left,"Biden administration restores transgender health protections, reversing Trump policy",CBS News (Online),https://www.cbsnews.com/news/transgender-health-protections-biden-administration/,Lean Right,"DeSantis signs Florida election bill tightening drop box, mail-in ballot rules live on 'Fox & Friends",Fox News (Online News),https://www.foxnews.com/politics/desantis-signs-florida-election-bill-fox-friends,Center,"Curfew lifted after protests over death of Daunte Wright, 20-year-old Black man shot by police during traffic stop: What we know",USA TODAY,https://www.usatoday.com/story/news/nation/2021/04/12/daunte-wright-police-shooting-near-minneapolis-protest-what-to-know/7185768002/
135,blm,PBS NewsHour,Center,"Support for Medicaid expansion grows in South Dakota, one of the last red state holdouts","At several points last year, Louise Snodgrass experienced some COVID-like symptoms, but worried each time how much testing or treatment would cost without health insurance.",Mar 16 2021,https://www.pbs.org/newshour/health/support-for-medicaid-expansion-grows-in-south-dakota-one-of-the-last-red-state-holdouts,Left,K-pop fan activism for Black Lives Matter needs context,Vox,https://www.vox.com/2020/6/22/21295700/k-pop-fan-activism-black-lives-matter-trump-rally-racism-cultural-appropriation-reset-podcast,Right,REPORT: FBI Says Atlanta ‘Activist’ Spent $200K in ‘Black Lives Matter’ Donations on ‘Personal Expenses’,Sean Hannity,https://hannity.com/media-room/report-fbi-says-atlanta-activist-spent-200k-in-black-lives-matter-donations-on-personal-expenses/,Center,White Supremacists Hold White Lives Matter Rally,The Hill,http://thehill.com/blogs/blog-briefing-room/news/357643-white-nationalists-march-through-tennessee-town
136,climate change,Fox News (Online News),Lean Right,Opinion: The inconvenient truth about climate change and Obama's policies,The global climate has gone through profound cycles of cooling and warming since long before humans walked the Earth.,May 19 2014,http://www.foxnews.com/opinion/2014/05/16/inconvenient-truth-about-climate-change-and-obamas-policies/,Lean Left,Trying to Reclaim Leadership on Climate Change,New York Times (News),http://www.nytimes.com/2014/06/02/us/politics/obama-tries-to-reclaim-leadership-on-climate-change.html?hp&_r=0,Lean Right,OPINION: People's Climate Demarche,Wall Street Journal (Opinion),http://online.wsj.com/articles/peoples-climate-demarche-1411339021,Center,"Wildfires, blackouts, anger: California shows us the future of climate change",USA TODAY,https://www.usatoday.com/story/opinion/voices/2020/08/21/california-forest-fires-storm-climate-change-david-callaway-column/3404346001/
137,climate change,Washington Post,Lean Left,"For Obama, a renewed focus on climate change",The president is making global warming a policy priority after years of approaching the issue cautiously.,May 05 2014,http://www.washingtonpost.com/politics/for-president-obama-a-renewed-focus-on-climate/2014/05/04/6b81412c-d144-11e3-9e25-188ebe1fa93b_story.html,Lean Left,"Defeated twice, a top climate change crusader has a wake-up call some Democrats won't want to hear",NBC News (Online),https://www.nbcnews.com/politics/2020-election/defeated-twice-top-climate-change-crusader-has-wake-call-some-n957691,Lean Right,OPINION: People's Climate Demarche,Wall Street Journal (Opinion),http://online.wsj.com/articles/peoples-climate-demarche-1411339021,Center,"Wildfires, blackouts, anger: California shows us the future of climate change",USA TODAY,https://www.usatoday.com/story/opinion/voices/2020/08/21/california-forest-fires-storm-climate-change-david-callaway-column/3404346001/
138,climate change,HuffPost,Left,No Place For Climate Change Deniers To Hide,"As the hurricanes and forest fires rage, we know there are no Republicans or Democrats in lifeboats, only survivors. And it is past time that we all turn towards the storm, not away from it.",Sep 10 2017,http://www.huffingtonpost.com/entry/no-place-for-climate-change-deniers-to-hide_us_59b55cc4e4b0b5e53106ca87?section=us_politics,Left,How Biden could actually deliver on his climate goals,Vox,https://www.vox.com/22398456/biden-climate-change-goals-industry-buildings-agriculture,Lean Right,"On Earth Day, youth activists can change the narrative",Washington Examiner,https://www.washingtonexaminer.com/opinion/on-earth-day-youth-activists-can-change-the-narrative,Center,Oil Lobby Backs Climate Action Plan,Wall Street Journal (News),https://www.wsj.com/articles/oil-lobby-backs-climate-action-plan-11616688013?mod=hp_lead_pos11
139,climate change,PBS NewsHour,Center,"Support for Medicaid expansion grows in South Dakota, one of the last red state holdouts","At several points last year, Louise Snodgrass experienced some COVID-like symptoms, but worried each time how much testing or treatment would cost without health insurance.",Mar 16 2021,https://www.pbs.org/newshour/health/support-for-medicaid-expansion-grows-in-south-dakota-one-of-the-last-red-state-holdouts,Lean Left,The Guardian view on climate change: a global emergency,The Guardian,https://www.theguardian.com/commentisfree/2018/oct/08/the-guardian-view-on-climate-change-a-global-emergency,Lean Right,Schumer sets course for climate legislation,Washington Examiner,https://www.washingtonexaminer.com/policy/energy/daily-on-energy-schumer-sets-course-for-climate-legislation,Center,Does Joe Biden Want to Cut U.S. Red Meat Consumption to Combat Climate Change?,Newsweek,https://www.newsweek.com/fact-check-joe-biden-red-meat-climate-change-1586373
140,climate change,Politico,Lean Left,"NASA doing 'preparatory work' for climate push, acting chief says","NASA is getting ready for the Biden administration's expected boost in climate science research, the agency's acting head told POLITICO on Tuesday.",Feb 19 2021,https://www.politico.com/news/2021/02/19/nasa-climate-push-469785,Left,The once and future Democratic consensus on climate change,Vox,https://www.vox.com/energy-and-environment/2017/11/18/16669094/democratic-consensus-on-climate-change,Right,Experto explica cómo el cambio climático empeorará la sequía en California,Univision,https://www.univision.com/local/san-francisco-kdtv/experto-explica-como-el-cambio-climatico-empeorara-la-sequia-en-california-video,Center,Could wooden buildings be a solution to climate change?,BBC News,http://www.bbc.com/future/story/20190717-climate-change-wooden-architecture-concrete-global-warming
