Index,Topic,Source,Bias,Headline,Byline,Date,URL,Left Bias,Left Headline,Left Source,Left URL,Right Bias,Right Headline,Right Source,Right URL,Center Bias,Center Headline,Center Source,Center URL
29,covid,BBC News,Center,Covid-19 paused climate emissions – but they're rising again,"The planet had already warmed by around 1.2C since pre-industrial times when the World Health Organization officially declared a pandemic on 11 March 2020. This began a sudden and unprecedented drop in human activity, as much of the world went into lockdown and factories stopped operating, cars kept their engines off and planes were grounded.",Apr 27 2021,https://www.bbc.com/future/article/20210312-covid-19-paused-climate-emissions-but-theyre-rising-again,Lean Left,U.S. to share 60 million doses of AstraZeneca C...,NBC News (Online),https://www.nbcnews.com/politics/white-house/u-...,Lean Right,It's not 'Covid relief' if they want to make it...,Washington Examiner,https://www.washingtonexaminer.com/opinion/byro...,Center,"New Study Estimates More Than 900,000 People Ha...",NPR (Online News),https://www.npr.org/sections/coronavirus-live-u...
30,covid,HuffPost,Left,GOP Lawmakers Release Surprisingly Great COVID-19 Vaccine Ad,Republican members of Congress who also happen to be medical professionals released a video on Tuesday encouraging people to get COVID-19 vaccinations ― an important public health message meant to counter vaccine hesitancy among their constituents.,Apr 27 2021,https://www.huffpost.com/entry/covid-19-vaccine-doctors-gop_n_6088493fe4b0ccb91c2a9901,Left,Covid-19's threat to European unity,CNN (Opinion),https://www.cnn.com/2020/05/07/opinions/europea...,Right,Perspectives: Trump's Last Negative COVID-19 Test,The Daily Caller,https://dailycaller.com/2020/10/07/white-house-...,Center,Trump Covid: President leaves hospital to conti...,BBC News,https://www.bbc.com/news/election-us-2020-54427390
31,covid,Vox,Left,The Covid-19 vaccine’s 2 big challenges,The US has authorized a coronavirus vaccine. That doesn’t guarantee a quick end to the pandemic.,Dec 14 2020,https://www.vox.com/future-perfect/22161047/covid-19-coronavirus-vaccine-manufacturing-distribution-persuasion,Lean Left,President Biden signs $1.9T Covid relief stimul...,NBC News (Online),https://www.nbcnews.com/politics/white-house/bi...,Lean Right,GOP lawmaker wants answers from Fauci on Wuhan ...,Washington Examiner,https://www.washingtonexaminer.com/news/gop-ans...,Center,"After losing their moms to COVID-19, some would...",USA TODAY,https://www.usatoday.com/story/life/health-well...
32,covid,NBC News (Online),Lean Left,U.S. to share 60 million doses of AstraZeneca Covid vaccine with other countries,"The U.S. plans to ship its stockpile of millions of AstraZeneca vaccine doses overseas, a move aimed at helping other countries struggling with a lack of dose to vaccinate their populations.",Apr 26 2021,https://www.nbcnews.com/politics/white-house/u-s-share-60-million-astrazeneca-covid-vaccine-doses-other-n1265398,Lean Left,Over 130 Secret Service Agents Quarantined Due ...,Washington Post,https://www.washingtonpost.com/politics/secret-...,Lean Right,Mother's Day amid COVID – I know how hard this ...,Fox News (Online News),https://www.foxnews.com/opinion/mothers-day-cov...,Center,FDA authorizes Pfizer-BioNTech COVID-19 vaccine...,USA TODAY,https://www.usatoday.com/story/news/health/2021...
33,covid,Wall Street Journal (News),Center,House Set to Approve Covid-19 Relief Bill,"The House was set to pass a $1.9 trillion coronavirus relief package Wednesday and send it to President Biden for his signature, as Democrats prepared to push through new payments to households and other aid measures without any Republican support.",Mar 10 2021,https://www.wsj.com/articles/house-set-to-approve-covid-19-relief-bill-11615372203?mod=politics_lead_pos1,Left,Pfizer and Moderna vaccines reduce Covid-19 hos...,CNN (Online News),https://www.cnn.com/2021/04/28/health/covid-19-...,Right,Nearly 40% Of Marines Opted Out Of The COVID-19...,The Daily Caller,https://dailycaller.com/2021/04/10/report-nearl...,Center,Covid vaccine: WHO warns of 'catastrophic moral...,BBC News,https://www.bbc.com/news/world-55709428
34,covid,Fox News (Online News),Lean Right,CDC issues guidelines for COVID-19 vaccinated population,"The Centers for Disease Control and Prevention (CDC) Monday released highly anticipated guidance on practices considered safe for those who are fully vaccinated against the novel coronavirus, relating to gatherings, quarantine and testing. Of note, the federal health agency said that those who are fully vaccinated can spend time with unvaccinated people indoors, with no mask, so long as those",Mar 08 2021,https://www.foxnews.com/health/cdc-guidelines-covid-19-vaccinated-population,Left,Catching COVID-19 After Vaccination: What To Know,HuffPost,https://www.huffpost.com/entry/covid-19-after-v...,Lean Right,It's not 'Covid relief' if they want to make it...,Washington Examiner,https://www.washingtonexaminer.com/opinion/byro...,Center,House Set to Approve Covid-19 Relief Bill,Wall Street Journal (News),https://www.wsj.com/articles/house-set-to-appro...
35,covid,Wall Street Journal (News),Center,U.S. Unemployment Claims Hit New Covid-19 Pandemic Low,"Worker filings for jobless benefits declined to 547,000 last week, a new pandemic low that adds to evidence of a strengthening labor market and overall economic recovery.",Apr 22 2021,https://www.wsj.com/articles/weekly-jobless-claims-coronavirus-04-22-2021-11619041467?mod=hp_lead_pos1,Left,Covid-19 vaccinations are climbing. But familia...,CNN (Online News),https://www.cnn.com/2021/04/09/us/us-covid-vacc...,Lean Right,The Second Wave Covid Scare,Wall Street Journal (Opinion),https://www.wsj.com/articles/the-second-wave-co...,Center,"After losing their moms to COVID-19, some would...",USA TODAY,https://www.usatoday.com/story/life/health-well...
36,covid,New York Post (News),Lean Right,Biden to tout US passing 200 million COVID-19 vaccinations,President Biden on Wednesday will hail the US passing 200 million COVID-19 vaccine doses administered — as the nation expands eligibility to all Americans over age 16.,Apr 21 2021,https://nypost.com/2021/04/21/biden-to-tout-us-passing-200-million-covid-19-vaccinations/,Lean Left,‘We’re all in this together’: Dr Fauci says wor...,The Guardian,https://www.theguardian.com/world/2021/apr/28/w...,Lean Right,Biden's new COVID-19 vaccine goal aims for 160M...,Fox News (Online News),https://www.foxnews.com/health/bidens-covid-19-...,Center,Fauci: 'No doubt' US has undercounted COVID-19 ...,The Hill,https://thehill.com/homenews/sunday-talk-shows/...
37,covid,BBC News,Center,Covid-19: US to advise against travel to 80% of countries,The US state department is to advise Americans to avoid 80% of countries worldwide because of the coronavirus pandemic.,Apr 20 2021,https://www.bbc.com/news/world-us-canada-56813852,Lean Left,Federal Judge Rules Pennsylvania's COVID-19 Loc...,Washington Post,https://www.washingtonpost.com/politics/2020/09...,Right,Perspectives: Trump's Last Negative COVID-19 Test,The Daily Caller,https://dailycaller.com/2020/10/07/white-house-...,Center,House Set to Approve Covid-19 Relief Bill,Wall Street Journal (News),https://www.wsj.com/articles/house-set-to-appro...
38,covid,The Guardian,Lean Left,Fauci: Republican vaccine deniers are hurting efforts to lift Covid restrictions,"Republicans who refuse the Covid-19 vaccination are actively “working against” efforts to lift the very coronavirus restrictions they insist are an infringement of their civil liberties, Dr Anthony Fauci, the US government’s leading infectious disease expert, said on Sunday.",Apr 18 2021,https://www.theguardian.com/us-news/2021/apr/18/coronavirus-anthony-fauci-republican-vaccine-deniers-restrictions,Left,Covid-19 vaccinations are climbing. But familia...,CNN (Online News),https://www.cnn.com/2021/04/09/us/us-covid-vacc...,Lean Right,CDC issues guidelines for COVID-19 vaccinated p...,Fox News (Online News),https://www.foxnews.com/health/cdc-guidelines-c...,Center,Pfizer Says COVID-19 Vaccine Shows '100% Effica...,NPR (Online News),https://www.npr.org/sections/coronavirus-live-u...
